float_val,fixed_val,float_cos,fixed_cos,scaled_float,fixed_err
0.000000,0,1.000000,32766,32768,2.000000
0.000096,1,1.000000,32766,32768,2.000000
0.000192,2,1.000000,32766,32768,2.000000
0.000288,3,1.000000,32766,32768,1.998047
0.000383,4,1.000000,32766,32768,1.998047
0.000479,5,1.000000,32766,32768,1.998047
0.000575,6,1.000000,32766,32768,1.996094
0.000671,7,1.000000,32766,32768,1.994141
0.000767,8,1.000000,32766,32768,1.990234
0.000863,9,1.000000,32766,32768,1.986328
0.000959,10,1.000000,32766,32768,1.986328
0.001055,11,0.999999,32766,32768,1.980469
0.001150,12,0.999999,32766,32768,1.978516
0.001246,13,0.999999,32766,32768,1.974609
0.001342,14,0.999999,32766,32768,1.970703
0.001438,15,0.999999,32766,32768,1.966797
0.001534,16,0.999999,32766,32768,1.962891
0.001630,17,0.999999,32766,32768,1.957031
0.001726,18,0.999999,32766,32768,1.951172
0.001822,19,0.999998,32766,32768,1.947266
0.001917,20,0.999998,32766,32768,1.941406
0.002013,21,0.999998,32766,32768,1.933594
0.002109,22,0.999998,32766,32768,1.927734
0.002205,23,0.999998,32766,32768,1.919922
0.002301,24,0.999997,32766,32768,1.914063
0.002397,25,0.999997,32766,32768,1.906250
0.002493,26,0.999997,32766,32768,1.898438
0.002589,27,0.999997,32766,32768,1.890625
0.002684,28,0.999996,32766,32768,1.882813
0.002780,29,0.999996,32766,32768,1.873047
0.002876,30,0.999996,32766,32768,1.865234
0.002972,31,0.999996,32766,32768,1.853516
0.003068,32,0.999995,32766,32768,1.845703
0.003164,33,0.999995,32766,32768,1.837891
0.003260,34,0.999995,32766,32768,1.826172
0.003356,35,0.999994,32766,32768,1.816406
0.003451,36,0.999994,32766,32768,1.802734
0.003547,37,0.999994,32766,32768,1.794922
0.003643,38,0.999993,32766,32768,1.783203
0.003739,39,0.999993,32766,32768,1.769531
0.003835,40,0.999993,32766,32768,1.759766
0.003931,41,0.999992,32766,32768,1.748047
0.004027,42,0.999992,32766,32768,1.734375
0.004123,43,0.999992,32766,32768,1.722656
0.004218,44,0.999991,32766,32768,1.708984
0.004314,45,0.999991,32766,32768,1.695313
0.004410,46,0.999990,32766,32768,1.681641
0.004506,47,0.999990,32766,32768,1.667969
0.004602,48,0.999989,32766,32768,1.652344
0.004698,49,0.999989,32766,32768,1.638672
0.004794,50,0.999989,32766,32768,1.625000
0.004890,51,0.999988,32766,32768,1.607422
0.004985,52,0.999988,32766,32768,1.591797
0.005081,53,0.999987,32766,32768,1.576172
0.005177,54,0.999987,32766,32768,1.562500
0.005273,55,0.999986,32766,32768,1.544922
0.005369,56,0.999986,32766,32768,1.529297
0.005465,57,0.999985,32766,32768,1.511719
0.005561,58,0.999985,32766,32767,1.494141
0.005657,59,0.999984,32766,32767,1.476563
0.005752,60,0.999983,32766,32767,1.457031
0.005848,61,0.999983,32766,32767,1.439453
0.005944,62,0.999982,32766,32767,1.421875
