float_val,fixed_val,float_div,fixed_div,scaled_float,fixed_err
-1.000000,-32768,-0.750000,-24576,-24576,0.000000
-0.999969,-32767,-0.750023,-24576,-24577,-0.750000
-0.999939,-32766,-0.750046,-24577,-24578,-0.500000
-0.999908,-32765,-0.750069,-24578,-24578,-0.250000
-0.999878,-32764,-0.750092,-24579,-24579,0.000000
-0.999847,-32763,-0.750114,-24579,-24580,-0.750000
-0.999817,-32762,-0.750137,-24580,-24581,-0.500000
-0.999786,-32761,-0.750160,-24581,-24581,-0.251953
-0.999756,-32760,-0.750183,-24582,-24582,-0.001953
-0.999725,-32759,-0.750206,-24582,-24583,-0.751953
-0.999695,-32758,-0.750229,-24583,-24584,-0.501953
-0.999664,-32757,-0.750252,-24584,-24584,-0.251953
-0.999634,-32756,-0.750275,-24585,-24585,-0.003906
-0.999603,-32755,-0.750298,-24585,-24586,-0.753906
-0.999573,-32754,-0.750321,-24586,-24587,-0.503906
-0.999542,-32753,-0.750344,-24587,-24587,-0.255859
-0.999512,-32752,-0.750366,-24588,-24588,-0.005859
-0.999481,-32751,-0.750389,-24588,-24589,-0.755859
-0.999451,-32750,-0.750412,-24589,-24590,-0.507813
-0.999420,-32749,-0.750435,-24590,-24590,-0.257813
-0.999390,-32748,-0.750458,-24591,-24591,-0.009766
-0.999359,-32747,-0.750481,-24591,-24592,-0.759766
-0.999329,-32746,-0.750504,-24592,-24593,-0.511719
-0.999298,-32745,-0.750527,-24593,-24593,-0.261719
-0.999268,-32744,-0.750550,-24594,-24594,-0.013672
-0.999237,-32743,-0.750573,-24594,-24595,-0.763672
-0.999207,-32742,-0.750596,-24595,-24596,-0.515625
-0.999176,-32741,-0.750619,-24596,-24596,-0.267578
-0.999146,-32740,-0.750641,-24597,-24597,-0.017578
-0.999115,-32739,-0.750664,-24597,-24598,-0.769531
-0.999084,-32738,-0.750687,-24598,-24599,-0.521484
-0.999054,-32737,-0.750710,-24599,-24599,-0.271484
-0.999023,-32736,-0.750733,-24600,-24600,-0.023438
-0.998993,-32735,-0.750756,-24600,-24601,-0.775391
-0.998962,-32734,-0.750779,-24601,-24602,-0.527344
-0.998932,-32733,-0.750802,-24602,-24602,-0.277344
-0.998901,-32732,-0.750825,-24603,-24603,-0.029297
-0.998871,-32731,-0.750848,-24603,-24604,-0.781250
-0.998840,-32730,-0.750871,-24604,-24605,-0.533203
-0.998810,-32729,-0.750894,-24605,-24605,-0.285156
-0.998779,-32728,-0.750917,-24606,-24606,-0.037109
-0.998749,-32727,-0.750940,-24606,-24607,-0.789063
-0.998718,-32726,-0.750963,-24607,-24608,-0.541016
-0.998688,-32725,-0.750986,-24608,-24608,-0.292969
-0.998657,-32724,-0.751008,-24609,-24609,-0.044922
-0.998627,-32723,-0.751031,-24609,-24610,-0.796875
-0.998596,-32722,-0.751054,-24610,-24611,-0.548828
-0.998566,-32721,-0.751077,-24611,-24611,-0.300781
-0.998535,-32720,-0.751100,-24612,-24612,-0.052734
-0.998505,-32719,-0.751123,-24612,-24613,-0.804688
-0.998474,-32718,-0.751146,-24613,-24614,-0.556641
-0.998444,-32717,-0.751169,-24614,-24614,-0.310547
-0.998413,-32716,-0.751192,-24615,-24615,-0.062500
-0.998383,-32715,-0.751215,-24615,-24616,-0.814453
-0.998352,-32714,-0.751238,-24616,-24617,-0.566406
-0.998322,-32713,-0.751261,-24617,-24617,-0.320313
-0.998291,-32712,-0.751284,-24618,-24618,-0.072266
-0.998260,-32711,-0.751307,-24618,-24619,-0.824219
-0.998230,-32710,-0.751330,-24619,-24620,-0.576172
-0.998199,-32709,-0.751353,-24620,-24620,-0.330078
-0.998169,-32708,-0.751376,-24621,-24621,-0.082031
-0.998138,-32707,-0.751399,-24621,-24622,-0.835938
-0.998108,-32706,-0.751422,-24622,-24623,-0.587891
-0.998077,-32705,-0.751445,-24623,-24623,-0.341797
-0.998047,-32704,-0.751468,-24624,-24624,-0.093750
-0.998016,-32703,-0.751491,-24624,-24625,-0.847656
-0.997986,-32702,-0.751514,-24625,-24626,-0.599609
-0.997955,-32701,-0.751537,-24626,-24626,-0.353516
-0.997925,-32700,-0.751560,-24627,-24627,-0.105469
-0.997894,-32699,-0.751583,-24627,-24628,-0.859375
-0.997864,-32698,-0.751606,-24628,-24629,-0.613281
-0.997833,-32697,-0.751629,-24629,-24629,-0.365234
-0.997803,-32696,-0.751652,-24630,-24630,-0.119141
-0.997772,-32695,-0.751675,-24630,-24631,-0.873047
-0.997742,-32694,-0.751698,-24631,-24632,-0.625000
-0.997711,-32693,-0.751721,-24632,-24632,-0.378906
-0.997681,-32692,-0.751744,-24633,-24633,-0.132813
-0.997650,-32691,-0.751767,-24633,-24634,-0.886719
-0.997620,-32690,-0.751790,-24634,-24635,-0.638672
-0.997589,-32689,-0.751813,-24635,-24635,-0.392578
-0.997559,-32688,-0.751836,-24636,-24636,-0.146484
-0.997528,-32687,-0.751859,-24636,-24637,-0.900391
-0.997498,-32686,-0.751882,-24637,-24638,-0.654297
-0.997467,-32685,-0.751905,-24638,-24638,-0.408203
-0.997437,-32684,-0.751928,-24639,-24639,-0.162109
-0.997406,-32683,-0.751951,-24639,-24640,-0.916016
-0.997375,-32682,-0.751974,-24640,-24641,-0.669922
-0.997345,-32681,-0.751997,-24641,-24641,-0.423828
-0.997314,-32680,-0.752020,-24642,-24642,-0.177734
-0.997284,-32679,-0.752043,-24642,-24643,-0.931641
-0.997253,-32678,-0.752066,-24643,-24644,-0.685547
-0.997223,-32677,-0.752089,-24644,-24644,-0.439453
-0.997192,-32676,-0.752112,-24645,-24645,-0.193359
-0.997162,-32675,-0.752135,-24645,-24646,-0.949219
-0.997131,-32674,-0.752158,-24646,-24647,-0.703125
-0.997101,-32673,-0.752181,-24647,-24647,-0.457031
-0.997070,-32672,-0.752204,-24648,-24648,-0.210938
-0.997040,-32671,-0.752227,-24648,-24649,-0.966797
-0.997009,-32670,-0.752250,-24649,-24650,-0.720703
-0.996979,-32669,-0.752273,-24650,-24650,-0.474609
-0.996948,-32668,-0.752296,-24651,-24651,-0.230469
-0.996918,-32667,-0.752319,-24651,-24652,-0.984375
-0.996887,-32666,-0.752342,-24652,-24653,-0.738281
-0.996857,-32665,-0.752365,-24653,-24653,-0.494141
-0.996826,-32664,-0.752388,-24654,-24654,-0.248047
-0.996796,-32663,-0.752411,-24655,-24655,-0.003906
-0.996765,-32662,-0.752434,-24655,-24656,-0.757813
-0.996735,-32661,-0.752457,-24656,-24657,-0.513672
-0.996704,-32660,-0.752480,-24657,-24657,-0.267578
-0.996674,-32659,-0.752503,-24658,-24658,-0.023438
-0.996643,-32658,-0.752526,-24658,-24659,-0.777344
-0.996613,-32657,-0.752549,-24659,-24660,-0.533203
-0.996582,-32656,-0.752572,-24660,-24660,-0.289063
-0.996552,-32655,-0.752595,-24661,-24661,-0.042969
-0.996521,-32654,-0.752618,-24661,-24662,-0.798828
-0.996490,-32653,-0.752641,-24662,-24663,-0.554688
-0.996460,-32652,-0.752664,-24663,-24663,-0.308594
-0.996429,-32651,-0.752688,-24664,-24664,-0.064453
-0.996399,-32650,-0.752711,-24664,-24665,-0.820313
-0.996368,-32649,-0.752734,-24665,-24666,-0.576172
-0.996338,-32648,-0.752757,-24666,-24666,-0.330078
-0.996307,-32647,-0.752780,-24667,-24667,-0.085938
-0.996277,-32646,-0.752803,-24667,-24668,-0.841797
-0.996246,-32645,-0.752826,-24668,-24669,-0.597656
-0.996216,-32644,-0.752849,-24669,-24669,-0.353516
-0.996185,-32643,-0.752872,-24670,-24670,-0.109375
-0.996155,-32642,-0.752895,-24670,-24671,-0.865234
-0.996124,-32641,-0.752918,-24671,-24672,-0.621094
-0.996094,-32640,-0.752941,-24672,-24672,-0.376953
-0.996063,-32639,-0.752964,-24673,-24673,-0.132813
-0.996033,-32638,-0.752987,-24673,-24674,-0.888672
-0.996002,-32637,-0.753010,-24674,-24675,-0.644531
-0.995972,-32636,-0.753033,-24675,-24675,-0.400391
-0.995941,-32635,-0.753057,-24676,-24676,-0.156250
