float_val,fixed_val,float_sine,fixed_sine,scaled_float,fixed_err
0.000000,0,0.000000,0,0,0.000000
0.000096,1,0.000096,0,3,3.141590
0.000192,2,0.000192,0,6,6.283180
0.000288,3,0.000288,0,9,9.424770
0.000383,4,0.000383,0,13,12.566360
0.000479,5,0.000479,0,16,15.707950
0.000575,6,0.000575,0,19,18.849539
0.000671,7,0.000671,0,22,21.991129
0.000767,8,0.000767,0,25,25.132719
0.000863,9,0.000863,0,28,28.274307
0.000959,10,0.000959,0,31,31.415895
0.001055,11,0.001055,0,35,34.557484
0.001150,12,0.001150,0,38,37.699074
0.001246,13,0.001246,0,41,40.840660
0.001342,14,0.001342,0,44,43.982250
0.001438,15,0.001438,0,47,47.123837
0.001534,16,0.001534,0,50,50.265423
0.001630,17,0.001630,0,53,53.407009
0.001726,18,0.001726,0,57,56.548595
0.001822,19,0.001822,0,60,59.690178
0.001917,20,0.001917,0,63,62.831764
0.002013,21,0.002013,0,66,65.973343
0.002109,22,0.002109,0,69,69.114929
0.002205,23,0.002205,0,72,72.256516
0.002301,24,0.002301,0,75,75.398094
0.002397,25,0.002397,0,79,78.539673
0.002493,26,0.002493,0,82,81.681259
0.002589,27,0.002589,0,85,84.822845
0.002684,28,0.002684,0,88,87.964417
0.002780,29,0.002780,0,91,91.105995
0.002876,30,0.002876,0,94,94.247574
0.002972,31,0.002972,0,97,97.389153
0.003068,32,0.003068,0,101,100.530724
0.003164,33,0.003164,0,104,103.672295
0.003260,34,0.003260,0,107,106.813873
0.003356,35,0.003356,0,110,109.955452
0.003451,36,0.003451,0,113,113.097023
0.003547,37,0.003547,0,116,116.238586
0.003643,38,0.003643,0,119,119.380157
0.003739,39,0.003739,0,123,122.521736
0.003835,40,0.003835,0,126,125.663300
0.003931,41,0.003931,0,129,128.804855
0.004027,42,0.004027,0,132,131.946426
0.004123,43,0.004123,0,135,135.087997
0.004218,44,0.004218,0,138,138.229553
0.004314,45,0.004314,0,141,141.371109
0.004410,46,0.004410,0,145,144.512680
0.004506,47,0.004506,0,148,147.654236
0.004602,48,0.004602,0,151,150.795792
0.004698,49,0.004698,0,154,153.937347
0.004794,50,0.004794,0,157,157.078903
0.004890,51,0.004890,0,160,160.220459
0.004985,52,0.004985,0,163,163.362015
0.005081,53,0.005081,0,167,166.503555
0.005177,54,0.005177,0,170,169.645111
0.005273,55,0.005273,0,173,172.786667
0.005369,56,0.005369,0,176,175.928207
0.005465,57,0.005465,0,179,179.069748
0.005561,58,0.005561,0,182,182.211273
0.005657,59,0.005657,0,185,185.352829
0.005752,60,0.005752,0,188,188.494370
0.005848,61,0.005848,0,192,191.635895
0.005944,62,0.005944,0,195,194.777451
