float_val,fixed_val,float_mul,fixed_mul,scaled_float,fixed_err
-1.000000,-32768,-0.750000,-24576,-24576,0.000000
-0.999969,-32767,-0.749977,-24576,-24575,0.750000
-0.999939,-32766,-0.749954,-24575,-24575,0.500000
-0.999908,-32765,-0.749931,-24574,-24574,0.250000
-0.999878,-32764,-0.749908,-24573,-24573,0.000000
-0.999847,-32763,-0.749886,-24573,-24572,0.750000
-0.999817,-32762,-0.749863,-24572,-24572,0.500000
-0.999786,-32761,-0.749840,-24571,-24571,0.250000
-0.999756,-32760,-0.749817,-24570,-24570,0.000000
-0.999725,-32759,-0.749794,-24570,-24569,0.750000
-0.999695,-32758,-0.749771,-24569,-24569,0.500000
-0.999664,-32757,-0.749748,-24568,-24568,0.250000
-0.999634,-32756,-0.749725,-24567,-24567,0.000000
-0.999603,-32755,-0.749702,-24567,-24566,0.750000
-0.999573,-32754,-0.749680,-24566,-24566,0.500000
-0.999542,-32753,-0.749657,-24565,-24565,0.250000
-0.999512,-32752,-0.749634,-24564,-24564,0.000000
-0.999481,-32751,-0.749611,-24564,-24563,0.750000
-0.999451,-32750,-0.749588,-24563,-24563,0.500000
-0.999420,-32749,-0.749565,-24562,-24562,0.250000
-0.999390,-32748,-0.749542,-24561,-24561,0.000000
-0.999359,-32747,-0.749519,-24561,-24560,0.750000
-0.999329,-32746,-0.749496,-24560,-24560,0.500000
-0.999298,-32745,-0.749474,-24559,-24559,0.250000
-0.999268,-32744,-0.749451,-24558,-24558,0.000000
-0.999237,-32743,-0.749428,-24558,-24557,0.750000
-0.999207,-32742,-0.749405,-24557,-24557,0.500000
-0.999176,-32741,-0.749382,-24556,-24556,0.250000
-0.999146,-32740,-0.749359,-24555,-24555,0.000000
-0.999115,-32739,-0.749336,-24555,-24554,0.750000
-0.999084,-32738,-0.749313,-24554,-24554,0.500000
-0.999054,-32737,-0.749290,-24553,-24553,0.250000
-0.999023,-32736,-0.749268,-24552,-24552,0.000000
-0.998993,-32735,-0.749245,-24552,-24551,0.750000
-0.998962,-32734,-0.749222,-24551,-24551,0.500000
-0.998932,-32733,-0.749199,-24550,-24550,0.250000
-0.998901,-32732,-0.749176,-24549,-24549,0.000000
-0.998871,-32731,-0.749153,-24549,-24548,0.750000
-0.998840,-32730,-0.749130,-24548,-24548,0.500000
-0.998810,-32729,-0.749107,-24547,-24547,0.250000
-0.998779,-32728,-0.749084,-24546,-24546,0.000000
-0.998749,-32727,-0.749062,-24546,-24545,0.750000
-0.998718,-32726,-0.749039,-24545,-24545,0.500000
-0.998688,-32725,-0.749016,-24544,-24544,0.250000
-0.998657,-32724,-0.748993,-24543,-24543,0.000000
-0.998627,-32723,-0.748970,-24543,-24542,0.750000
-0.998596,-32722,-0.748947,-24542,-24542,0.500000
-0.998566,-32721,-0.748924,-24541,-24541,0.250000
-0.998535,-32720,-0.748901,-24540,-24540,0.000000
-0.998505,-32719,-0.748878,-24540,-24539,0.750000
-0.998474,-32718,-0.748856,-24539,-24539,0.500000
-0.998444,-32717,-0.748833,-24538,-24538,0.250000
-0.998413,-32716,-0.748810,-24537,-24537,0.000000
-0.998383,-32715,-0.748787,-24537,-24536,0.750000
-0.998352,-32714,-0.748764,-24536,-24536,0.500000
-0.998322,-32713,-0.748741,-24535,-24535,0.250000
-0.998291,-32712,-0.748718,-24534,-24534,0.000000
-0.998260,-32711,-0.748695,-24534,-24533,0.750000
-0.998230,-32710,-0.748672,-24533,-24533,0.500000
-0.998199,-32709,-0.748650,-24532,-24532,0.250000
-0.998169,-32708,-0.748627,-24531,-24531,0.000000
-0.998138,-32707,-0.748604,-24531,-24530,0.750000
-0.998108,-32706,-0.748581,-24530,-24530,0.500000
-0.998077,-32705,-0.748558,-24529,-24529,0.250000
-0.998047,-32704,-0.748535,-24528,-24528,0.000000
-0.998016,-32703,-0.748512,-24528,-24527,0.750000
