float_val,fixed_val,float_sqrt,fixed_sqrt,scaled_float,fixed_err
0.000000,0,0.000000,182,0,-182.000000
0.000031,1,0.005524,256,181,-74.980667
0.000061,2,0.007813,314,256,-58.000000
0.000092,3,0.009568,362,314,-48.465302
0.000122,4,0.011049,404,362,-41.961334
0.000153,5,0.012353,444,405,-39.228455
0.000183,6,0.013532,478,443,-34.595001
0.000214,7,0.014616,512,479,-33.067841
0.000244,8,0.015625,544,512,-32.000000
0.000275,9,0.016573,572,543,-28.942017
0.000305,10,0.017469,600,572,-27.566589
0.000336,11,0.018322,628,600,-27.626770
0.000366,12,0.019137,652,627,-24.930603
0.000397,13,0.019918,678,653,-25.325500
0.000427,14,0.020670,702,677,-24.687683
0.000458,15,0.021395,724,701,-22.915100
0.000488,16,0.022097,746,724,-21.922668
0.000519,17,0.022777,768,746,-21.638184
0.000549,18,0.023438,790,768,-22.000000
0.000580,19,0.024080,810,789,-20.955017
0.000610,20,0.024705,830,810,-20.456909
0.000641,21,0.025315,850,830,-20.465210
0.000671,22,0.025911,868,849,-18.944031
0.000702,23,0.026493,886,868,-17.861755
0.000732,24,0.027063,906,887,-19.190002
0.000763,25,0.027621,924,905,-18.903320
0.000793,26,0.028168,940,923,-16.978882
0.000824,27,0.028705,958,941,-17.395935
0.000854,28,0.029232,974,958,-16.135681
0.000885,29,0.029749,992,975,-17.181030
0.000916,30,0.030258,1008,991,-16.516235
0.000946,31,0.030758,1024,1008,-16.127014
0.000977,32,0.031250,1040,1024,-16.000000
0.001007,33,0.031735,1056,1040,-16.123047
0.001038,34,0.032212,1070,1056,-14.484985
0.001068,35,0.032682,1086,1071,-15.075195
0.001099,36,0.033146,1102,1086,-15.884033
0.001129,37,0.033603,1116,1101,-14.902344
0.001160,38,0.034054,1130,1116,-14.121826
0.001190,39,0.034499,1144,1130,-13.534668
0.001221,40,0.034939,1160,1145,-15.133179
0.001251,41,0.035373,1174,1159,-14.910645
0.001282,42,0.035801,1188,1173,-14.860596
0.001312,43,0.036225,1200,1187,-12.976807
0.001343,44,0.036644,1214,1201,-13.253540
0.001373,45,0.037058,1228,1214,-13.685425
0.001404,46,0.037467,1242,1228,-14.267090
0.001434,47,0.037873,1254,1241,-12.993896
0.001465,48,0.038273,1268,1254,-13.861206
0.001495,49,0.038670,1280,1267,-12.864624
0.001526,50,0.039063,1292,1280,-12.000000
0.001556,51,0.039451,1306,1293,-13.263428
0.001587,52,0.039836,1318,1305,-12.651001
0.001617,53,0.040217,1330,1318,-12.159302
0.001648,54,0.040595,1342,1330,-11.785034
0.001678,55,0.040969,1354,1342,-11.524658
0.001709,56,0.041340,1366,1355,-11.375366
0.001740,57,0.041707,1378,1367,-11.333984
0.001770,58,0.042072,1390,1379,-11.397827
0.001801,59,0.042433,1402,1390,-11.564087
0.001831,60,0.042791,1414,1402,-11.830200
0.001862,61,0.043146,1426,1414,-12.193848
0.001892,62,0.043498,1436,1425,-10.652344
0.001923,63,0.043848,1448,1437,-11.203613
0.001953,64,0.044194,1460,1448,-11.845337
0.001984,65,0.044538,1470,1459,-10.575439
0.002014,66,0.044879,1482,1471,-11.391968
0.002045,67,0.045218,1492,1482,-10.292847
0.002075,68,0.045554,1504,1493,-11.276367
0.002106,69,0.045888,1514,1504,-10.340454
0.002136,70,0.046219,1526,1515,-11.483521
0.002167,71,0.046548,1536,1525,-10.703979
0.002197,72,0.046875,1546,1536,-10.000000
0.002228,73,0.047199,1558,1547,-11.370117
0.002258,74,0.047522,1568,1557,-10.812744
0.002289,75,0.047842,1578,1568,-10.326538
0.002319,76,0.048159,1588,1578,-9.910034
0.002350,77,0.048475,1598,1588,-9.561768
0.002380,78,0.048789,1608,1599,-9.280518
0.002411,79,0.049101,1620,1609,-11.064941
0.002441,80,0.049411,1630,1619,-10.913818
0.002472,81,0.049718,1640,1629,-10.825928
0.002502,82,0.050024,1650,1639,-10.800171
0.002533,83,0.050329,1660,1649,-10.835327
0.002563,84,0.050631,1668,1659,-8.930420
0.002594,85,0.050931,1678,1669,-9.084229
0.002625,86,0.051230,1688,1679,-9.295776
0.002655,87,0.051527,1698,1688,-9.564087
0.002686,88,0.051822,1708,1698,-9.888062
0.002716,89,0.052116,1718,1708,-10.266968
0.002747,90,0.052408,1726,1717,-8.699829
0.002777,91,0.052698,1736,1727,-9.185547
0.002808,92,0.052987,1746,1736,-9.723511
0.002838,93,0.053274,1756,1746,-10.312744
0.002869,94,0.053560,1764,1755,-8.952393
0.002899,95,0.053844,1774,1764,-9.641724
0.002930,96,0.054127,1782,1774,-8.380005
0.002960,97,0.054408,1792,1783,-9.166260
0.002991,98,0.054688,1802,1792,-10.000000
0.003021,99,0.054966,1810,1801,-8.880371
0.003052,100,0.055243,1820,1810,-9.806641
0.003082,101,0.055518,1828,1819,-8.778198
0.003113,102,0.055792,1838,1828,-9.794312
0.003143,103,0.056065,1846,1837,-8.854370
0.003174,104,0.056337,1854,1846,-7.957764
0.003204,105,0.056607,1864,1855,-9.103760
0.003235,106,0.056876,1872,1864,-8.291870
0.003265,107,0.057144,1882,1872,-9.521484
0.003296,108,0.057410,1890,1881,-8.791870
0.003326,109,0.057675,1898,1890,-8.102661
0.003357,110,0.057939,1908,1899,-9.453247
0.003387,111,0.058202,1916,1907,-8.842896
0.003418,112,0.058463,1924,1916,-8.271362
0.003448,113,0.058724,1932,1924,-7.738037
0.003479,114,0.058983,1942,1933,-9.242432
0.003510,115,0.059241,1950,1941,-8.783936
0.003540,116,0.059498,1958,1950,-8.362061
0.003571,117,0.059754,1966,1958,-7.976563
0.003601,118,0.060009,1974,1966,-7.626709
0.003632,119,0.060263,1982,1975,-7.312134
0.003662,120,0.060515,1992,1983,-9.032471
0.003693,121,0.060767,2000,1991,-8.787354
0.003723,122,0.061018,2008,1999,-8.576050
0.003754,123,0.061267,2016,2008,-8.398438
0.003784,124,0.061516,2024,2016,-8.254028
0.003815,125,0.061763,2032,2024,-8.142334
0.003845,126,0.062010,2040,2032,-8.062988
0.003876,127,0.062255,2048,2040,-8.015747
0.003906,128,0.062500,2056,2048,-8.000000
0.003937,129,0.062744,2064,2056,-8.015625
0.003967,130,0.062986,2072,2064,-8.062012
0.003998,131,0.063228,2080,2072,-8.138916
0.004028,132,0.063469,2088,2080,-8.246094
0.004059,133,0.063709,2096,2088,-8.383057
0.004089,134,0.063948,2104,2095,-8.549805
0.004120,135,0.064186,2112,2103,-8.745361
0.004150,136,0.064424,2118,2111,-6.969971
0.004181,137,0.064660,2126,2119,-7.222900
