float_val,fixed_val,float_tan,fixed_tan,scaled_float,fixed_err
0.000000,0,0.000000,0,0,0.000000
0.000096,1,0.000096,0,3,3.141590
0.000192,2,0.000192,6,6,0.283180
0.000288,3,0.000288,6,9,3.424771
0.000383,4,0.000383,12,13,0.566361
0.000479,5,0.000479,12,16,3.707952
0.000575,6,0.000575,18,19,0.849543
0.000671,7,0.000671,18,22,3.991135
0.000767,8,0.000767,24,25,1.132725
0.000863,9,0.000863,24,28,4.274317
0.000959,10,0.000959,30,31,1.415913
0.001055,11,0.001055,30,35,4.557503
0.001150,12,0.001150,36,38,1.699100
0.001246,13,0.001246,36,41,4.840691
0.001342,14,0.001342,42,44,1.982288
0.001438,15,0.001438,42,47,5.123886
0.001534,16,0.001534,50,50,0.265480
0.001630,17,0.001630,50,53,3.407078
0.001726,18,0.001726,56,57,0.548679
0.001822,19,0.001822,56,60,3.690277
0.001917,20,0.001917,62,63,0.831879
0.002013,21,0.002013,62,66,3.973480
0.002109,22,0.002109,68,69,1.115082
0.002205,23,0.002205,68,72,4.256699
0.002301,24,0.002301,74,75,1.398293
0.002397,25,0.002397,74,79,4.539894
0.002493,26,0.002493,80,82,1.681519
0.002589,27,0.002589,80,85,4.823128
0.002684,28,0.002684,86,88,1.964737
0.002780,29,0.002780,86,91,5.106346
0.002876,30,0.002876,94,94,0.247963
0.002972,31,0.002972,94,97,3.389587
0.003068,32,0.003068,100,101,0.531197
0.003164,33,0.003164,100,104,3.672813
0.003260,34,0.003260,106,107,0.814445
0.003356,35,0.003356,106,110,3.956070
0.003451,36,0.003451,112,113,1.097694
0.003547,37,0.003547,112,116,4.239326
0.003643,38,0.003643,118,119,1.380959
0.003739,39,0.003739,118,123,4.522591
0.003835,40,0.003835,124,126,1.664223
0.003931,41,0.003931,124,129,4.805862
0.004027,42,0.004027,130,132,1.947495
0.004123,43,0.004123,130,135,5.089142
0.004218,44,0.004218,138,138,0.230789
0.004314,45,0.004314,138,141,3.372421
0.004410,46,0.004410,144,145,0.514084
0.004506,47,0.004506,144,148,3.655731
0.004602,48,0.004602,150,151,0.797394
0.004698,49,0.004698,150,154,3.939056
0.004794,50,0.004794,156,157,1.080688
0.004890,51,0.004890,156,160,4.222382
0.004985,52,0.004985,162,163,1.364044
0.005081,53,0.005081,162,167,4.505707
0.005177,54,0.005177,168,170,1.647385
0.005273,55,0.005273,168,173,4.789063
0.005369,56,0.005369,174,176,1.930740
0.005465,57,0.005465,174,179,5.072403
0.005561,58,0.005561,182,182,0.214111
0.005657,59,0.005657,182,185,3.355804
0.005752,60,0.005752,188,188,0.497482
0.005848,61,0.005848,188,192,3.639175
0.005944,62,0.005944,194,195,0.780884
